home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Burnley,Tottenham,1,0,True,False,3.68,3.9,2.63,2.78,0.82,0.88,1645644600
Liverpool,Leeds,6,0,True,False,0.18,0.21,7.13,7.8,13.91,16.0,1645645500
Arsenal,Wolves,2,1,True,False,0.67,0.73,2.72,2.86,4.93,5.3,1645731900
Southampton,Norwich,2,0,True,False,0.51,0.57,3.5,4.05,5.64,6.0,1645819200
Leeds,Tottenham,0,4,False,True,2.78,3.18,2.81,2.98,0.97,1.02,1645878600
Manchester Utd,Watford,0,0,False,False,0.38,0.4,4.06,4.29,7.63,8.14,1645887600
Crystal Palace,Burnley,1,1,False,False,0.9,0.95,2.33,2.43,3.74,4.2,1645887600
Brentford,Newcastle,0,2,False,True,1.38,1.52,2.1,2.17,2.4,2.6,1645887600
Brighton,Aston Villa,0,2,False,True,1.22,1.27,2.27,2.4,2.49,2.64,1645889400
Everton,Manchester City,0,1,False,True,11.19,13.75,5.34,5.8,0.26,0.27,1645896600
West Ham,Wolves,1,0,True,False,0.94,0.97,2.36,2.41,3.53,3.73,1645970400
Burnley,Leicester,0,2,False,True,1.95,2.18,2.3,2.4,1.54,1.63,1646163900
Leicester,Leeds,1,0,True,False,1.02,1.14,2.77,2.85,2.66,2.92,1646483400
Wolves,Crystal Palace,0,2,False,True,1.37,1.45,2.05,2.16,2.48,2.77,1646492400
Norwich,Brentford,1,3,False,True,2.14,2.43,2.18,2.26,1.47,1.55,1646492400
Newcastle,Brighton,2,1,True,False,1.67,1.8,2.13,2.29,1.89,2.0,1646492400
Burnley,Chelsea,0,4,False,True,6.44,7.09,3.07,3.3,0.52,0.55,1646492400
Aston Villa,Southampton,4,0,True,False,1.25,1.32,2.53,2.72,2.24,2.48,1646492400
Liverpool,West Ham,1,0,True,False,0.25,0.27,5.8,6.62,10.41,11.75,1646501400
Watford,Arsenal,2,3,False,True,5.73,6.17,3.26,3.4,0.54,0.56,1646575200
Manchester City,Manchester Utd,4,1,True,False,0.42,0.48,4.03,4.4,6.73,8.0,1646584200
Tottenham,Everton,5,0,True,False,0.72,0.77,2.9,3.0,4.07,4.4,1646683200
Wolves,Watford,4,0,True,False,0.93,0.97,2.45,2.52,3.43,3.67,1646940600
Southampton,Newcastle,1,2,False,True,1.0,1.08,2.55,2.69,2.98,3.41,1646940600
Norwich,Chelsea,1,3,False,True,8.68,10.0,3.95,4.1,0.37,0.4,1646940600
Leeds,Aston Villa,0,3,False,True,1.85,2.13,2.58,2.65,1.46,1.55,1646941500
Brighton,Liverpool,0,2,False,True,5.83,6.2,3.65,3.81,0.48,0.51,1647088200
Brentford,Burnley,2,0,True,False,1.1,1.19,2.32,2.44,2.83,3.0,1647097200
Manchester Utd,Tottenham,3,2,True,False,1.34,1.5,2.53,2.84,2.09,2.2,1647106200
West Ham,Aston Villa,2,1,True,False,1.52,1.61,2.29,2.41,1.98,2.22,1647180000
Southampton,Watford,1,2,False,True,0.66,0.72,3.11,3.27,4.24,4.6,1647180000
Leeds,Norwich,2,1,True,False,0.63,0.66,3.18,3.38,4.46,4.75,1647180000
